company_name,company_category,description,tag_list,founded_at,country,state,region, funding_total_usd ,funded_at,funded_year,funded_quarter,CB_URL,homepage_url
StatusNet,software,Open source micro blogging platform,"open-source, creative-commons, microblogging, openmicroblog, laconica, socialnetwork, oembeb, realtime",4/1/2007,CAN,,Montreal," 2,295,000 ",1/15/2009,2009,2009-Q1,http://www.crunchbase.com/company/statusnet,http://status.net
LINAGORA,software,,,,FRA,,Paris," 2,180,000 ",1/16/2006,2006,2006-Q1,http://www.crunchbase.com/company/linagora,http://www.linagora.com
Eagle Genomics,biotech,"Bioinformatics, genomics ","bioinformatics, genomics, genome-content-management, open-source-bioinformatics",1/1/2008,GBR,,London," 2,136,505 ",11/21/2013,2013,2013-Q4,http://www.crunchbase.com/company/eagle-genomics,http://www.eaglegenomics.com
Upverter,software,Github for Hardware,"electronics, open-source, hardware, electronic-design-tools, cad",8/27/2010,CAN,,Toronto," 2,110,718 ",6/28/2013,2013,2013-Q2,http://www.crunchbase.com/company/upverter,http://upverter.com
Ushahidi,nonprofit,Crowdsourcing crisis information,"crisis, kenya, africa, information, emergency, disaster, open-source, foss, free",1/9/2008,,,unknown," 2,095,740 ",8/1/2008,2008,2008-Q3,http://www.crunchbase.com/company/ushahidi,http://www.ushahidi.com
ORDISSIMO,ecommerce,,"senior-computer, computer, senior-solution, senior-technology, healthcare, senior-os, seniors, easy-computer, simple-computer, easy-to-use-computer, debian, open-source",1/1/2002,FRA,,Paris," 2,091,000 ",12/19/2008,2008,2008-Q4,http://www.crunchbase.com/company/ordissimo,http://www.ordissimo.com
Restlet,software,Web API Platform as a Service,"middleware, paas, rest, web-api, api, java, javascript, android, gwt, gae, osgi",5/5/2008,FRA,,Paris," 2,000,000 ",11/14/2013,2013,2013-Q4,http://www.crunchbase.com/company/restlet,http://restlet.com
Contego Fraud Solutions,software,Compliance & Fraud detection systems,,1/1/2011,GBR,,London," 1,917,451 ",2/2/2012,2012,2012-Q1,http://www.crunchbase.com/company/contego-fraud-solutions,http://www.contego.com
Plivo,mobile,Cloud APIs for building Voice & SMS apps,"web, cloud, telephony, api, sms, voice, phone-call, open-source, y-combinator, the-morpheus",4/28/2011,USA,CA,SF Bay," 1,750,000 ",12/4/2012,2012,2012-Q4,http://www.crunchbase.com/company/plivo,http://www.plivo.com
Ninja Blocks,hardware,Open Source IoTs,"internet-of-things, iot, open-source, open-source-hardware, open-source-software, api",1/1/2012,AUS,,Eveleigh," 1,702,000 ",7/1/2013,2013,2013-Q3,http://www.crunchbase.com/company/ninja-blocks,http://ninjablocks.com
Accendo Technologies,software,Software and Service,,1/1/2002,,,unknown," 1,560,000 ",1/25/2005,2005,2005-Q1,http://www.crunchbase.com/company/accendo-technologies,http://www.accendo.co.za
Curoverse,software,,,,USA,MA,Boston," 1,500,000 ",12/17/2013,2013,2013-Q4,http://www.crunchbase.com/company/curoverse,http://curoverse.com
Buttercoin,software,,"white-label, bitcoin, exchange-service",1/1/2013,USA,CA,SF Bay," 1,250,000 ",8/19/2013,2013,2013-Q3,http://www.crunchbase.com/company/buttercoin,http://buttercoin.com
panOpen,education,Online educational platform,"education, oer, higher-education, open-source",4/1/2013,USA,NY,New York," 1,250,000 ",1/17/2014,2014,2014-Q1,http://www.crunchbase.com/company/panopen,http://www.panopen.com
Bountysource,web,Funding platform for open-source,"bounties, open-source, fundraiser, issue, crowd-funding",8/22/2012,USA,CA,SF Bay," 1,100,000 ",7/17/2013,2013,2013-Q3,http://www.crunchbase.com/company/bountysource,http://www.bountysource.com
Kitware,software,,,1/1/1998,USA,NY,Clifton Park," 1,000,000 ",10/29/2013,2013,2013-Q4,http://www.crunchbase.com/company/kitware,http://www.kitware.com
Curverider,software,Social networking technology,"socialnetwork, opensource",8/1/2005,GBR,,London," 588,384 ",1/1/2007,2007,2007-Q1,http://www.crunchbase.com/company/curverider,http://elgg.com
mySociety,software,,,,GBR,,London," 575,000 ",7/6/2010,2010,2010-Q3,http://www.crunchbase.com/company/mysociet,http://www.mysociety.org
CodeGlide,enterprise,,"open-source, crm, etl, integration, software, solution, collaboration, groupware",5/1/2007,USA,CA,SF Bay," 500,000 ",5/1/2007,2007,2007-Q2,http://www.crunchbase.com/company/codeglide,http://www.codeglide.com
Open Dynamics,software,,"workflow, process, bpm, workflow-management-system, open-source-workflow",11/1/2009,MYS,,Petaling Jaya," 500,000 ",11/1/2009,2009,2009-Q4,http://www.crunchbase.com/company/open-dynamics,http://joget.org
Masterbranch,software,IT profiles based on real experience.,"jobs, software-development, engineers, candidats, recruitment, open-source, profile, rsum",1/1/2010,USA,,SF Bay," 470,000 ",5/23/2011,2011,2011-Q2,http://www.crunchbase.com/company/masterbranch,http://www.masterbranch.com
ChupaMobile,ecommerce,Marketplace for Mobile App Components,"mobile, ecommerce, e-commerce, marketplace, mobile-development, open-source, developers, development, appstore, android, ios",10/1/2011,GBR,,London," 465,000 ",2/1/2012,2012,2012-Q1,http://www.crunchbase.com/company/chupamobile,http://chupamobile.com
Coursefork,education,Open-sourcing education.,"education, open-source",5/13/2013,USA,NC,Raleigh-Durham," 425,000 ",8/28/2013,2013,2013-Q3,http://www.crunchbase.com/company/coursefork,http://coursefork.org
BAASBOX,software,,,1/1/2013,ITA,,Rome," 385,980 ",1/22/2014,2014,2014-Q1,http://www.crunchbase.com/company/baasbox,http://www.baasbox.com
Behavio,software,social and behavioral sensing,,6/12/2012,USA,CA,SF Bay," 355,000 ",6/1/2012,2012,2012-Q2,http://www.crunchbase.com/company/behavio,http://behav.io
Geoloqi,enterprise,Real-Time Location Platform,"location, sharing, open-source, geolocation-platform, digital-communication, background-notification, location-sharing, api, proximal-notification, quantified-self",4/20/2010,USA,OR,Portland," 350,000 ",7/14/2011,2011,2011-Q3,http://www.crunchbase.com/company/geoloqi,http://geoloqi.com
Quosis,software,open source software service,,1/1/2004,FIN,,Jyvaskyla," 260,000 ",1/9/2007,2007,2007-Q1,http://www.crunchbase.com/company/quosis,http://www.quosis.com
ImpressPages,software,sexy web CMS,"cms, drag-drop, in-place-editing, web",6/13/2009,LTU,,Vilnius," 257,320 ",7/9/2013,2013,2013-Q3,http://www.crunchbase.com/company/impresspages,http://www.impresspages.org
