company_name,company_category,description,tag_list,founded_at,country,state,region,funding_total_usd,funded_at,funded_year,funded_quarter,cb_url,homepage_url
Atamasoft,software,Provide Quiz application,,3/3/2009,,,unknown,36198,3/9/2010,2010,2010-Q1,/company/atamasoft,http://atamasoft.jp
easy2map,software,Online Mapping Solutions,"free, google-maps, mapping-tool, map-builder, maps, custom, embed, easy, no-coding, freemium",6/1/2011,ZAF,,Cape Town,36000,2/1/2013,2013,2013-Q1,/company/easy2map,http://www.easy2map.com
CaseTrek,software,Time-saving for Lawyers,"crm, case-management, legal, law-practice-management",1/1/2013,,,unknown,32500,3/1/2013,2013,2013-Q1,/company/casetrek,http://casetrek.com
Lionsharp Solutions,software,Creative Technology Solutions,"kinect, gesture-control, voice-control, brainstorming, presentations, interactive, windows-app, armenia, bulgaria, uk, italy, startup, technology, gesture, control, innovative, voiceboard",4/8/2013,BGR,,Sofia,32013,4/1/2013,2013,2013-Q2,/company/lionsharp-solutions,http://www.lionsharp.com
KANBANize,software,Lean/Agile Kanban tool,"lean, agile, kanban, lean-startup, project-management, process-management, software-as-a-service, visual-management, program-management, work-flow, process-flow, process-improvement, collaboration, scrum, kanban-board, development",1/1/2012,,,unknown,32013,4/1/2013,2013,2013-Q2,/company/kanbanize,http://kanbanize.com
NumberPicture,software,Beautiful custom infographics,"graphics, data-visualization, story-telling",,BGR,,Bulgaria - Other,32013,4/1/2013,2013,2013-Q2,/company/numberpicture,http://numberpicture.com
Passman,software,Internet service provider,,,FRA,,Villeurbanne,30488,4/12/2010,2010,2010-Q2,/company/passman,http://www.passman.fr
QPSoftware,software,web design and development china,"web-design-and-development-shanghai, ecommerce-china, internet-solution-shanghai",11/30/2007,CHN,,Shanghai,30000,1/1/2011,2011,2011-Q1,/company/qpsoftware,http://www.qpsoftware.fr
IonLogix Systems,software,,"voice-over-ip, voip, technology-startup, asterisk, freevoiceline, free-long-distance",12/11/2007,USA,TX,Austin,30000,10/24/2008,2008,2008-Q4,/company/ionlogix-systems,http://www.ionlogix.com
Game Craft,software,Gamification as a Service,"gamification, game-design, consulting",12/15/2011,BGR,,Sofia,29651,11/29/2011,2011,2011-Q4,/company/game-craft,http://www.game-craft.com
BlenderHouse,software,Clinical documentation software,"enterprise, process-management, business-processes",1/1/2008,USA,PA,Pittsburg,25000,7/4/2008,2008,2008-Q3,/company/blenderhouse,http://blenderhouse.com
Gigmax,software,You Files Anywhere,"online-storage, backup, flash-drive, cloud, file-sharing",8/1/2005,,,unknown,25000,9/9/2009,2009,2009-Q3,/company/gigmax,http://www.gigmax.com
25eight,software,Web development,"electronics, diy",,,,unknown,25000,1/26/2010,2010,2010-Q1,/company/25eight,http://25eightsoftware.com
Levlr,software,Game mechanics platform,"game-mechanics, game-dynamics, marketing, social-media, social-gaming",1/1/2010,USA,PA,Pittsburg,25000,6/1/2010,2010,2010-Q2,/company/levlr,http://levlr.com
Beeminder,software,Quantified Self + Commitment contracts,,10/10/2011,USA,OR,Portland,25000,3/1/2012,2012,2012-Q1,/company/beeminder,https://www.beeminder.com
InStoreFinance.com,software,,,,USA,OH,Cleveland,25000,10/4/2012,2012,2012-Q4,/company/instorefinance-com,http://instorefinance.com
NetBeez,software,,,4/1/2013,USA,PA,Pittsburg,25000,7/1/2013,2013,2013-Q3,/company/netbeez,http://netbeez.net
FINXI,software,Making data more efficient daily,"data-compression, it-infrastructure, infrastructure-optimization, datacenters, file-compression, object-compression",3/20/2010,BRA,,Rio de Janeiro,25000,7/1/2012,2012,2012-Q3,/company/finxi,http://finxi.com.br
HuJe labs,software,Web development firm,"huje-labs, web, online-marketing, seo, mobile, web-applications",1/10/2006,PAK,,Karachi,25000,5/15/2008,2008,2008-Q2,/company/huje-labs,http://hujelabs.com
Snippets,software,Code snippets manager,"development, software, seo, software-development, code-snippets-programming, coding",1/1/2009,,,unknown,25000,1/1/2012,2012,2012-Q1,/company/snippets,http://snippets.me
TimeFree Innovations,software,Software Development Company,,1/1/2013,PHL,,Makati,25000,4/5/2013,2013,2013-Q2,/company/timefree-innovations,http://www.tfinnovations.com
30 Second Showcase,software,Visual Introductions for Every Situation,"creative, portfolio, photo, photography, design, graphic-design, mobile, app, showcase, one-page, techlaunch, launchpad-2",4/1/2013,USA,NJ,New York,25000,5/20/2013,2013,2013-Q2,/company/30-second-showcase,http://www.30secondshowcase.com
SE Holdings and Incubations,software,Publishing,,1/1/1985,JPN,,Tokyo,24000,9/3/2010,2010,2010-Q3,/company/se-holdings-and-incubations,http://www.sehi.co.jp
ClearGist,software,Commoditizing personalization technology,,11/10/2011,GRC,,Athens,20660,11/6/2011,2011,2011-Q4,/company/infolytics,http://www.cleargist.com
SocialGuides,software,Social CRM & Commerce,,1/1/2009,,,unknown,20000,6/1/2009,2009,2009-Q2,/company/social-guides,http://www.socialguides.com
Pagevamp,software,One click website builder.,"website-builder, website-creator, facebook-app, social-media",1/1/2013,USA,NY,New York,20000,6/19/2013,2013,2013-Q2,/company/pagevamp,http://www.Pagevamp.com
Meograph,software,Building the next Adobe,"multimedia-stories, sports, weddings, tourism",1/1/2012,USA,CA,SF Bay,20000,6/1/2013,2013,2013-Q2,/company/meograph,http://www.meograph.com
SurroundsMe,software,Social Media Automation,"social-media, social-media-marketing, marketing-automation, social-metrics, social-roi",2/1/2013,USA,HI,Honolulu,20000,4/29/2013,2013,2013-Q2,/company/surroundsme,http://surrounds.me
Mango Reservations,software,Vacation rental website SaaS,"vacation-rental-management, vacation-rental-software, vacation-rental, software-as-a-service, saas",1/1/2010,USA,TN,Nashville,20000,3/1/2010,2010,2010-Q1,/company/mango-reservations,http://www.mangoreservations.com
Blogic,software,Better blogging software,"blog, blogging-software",6/15/2011,USA,AZ,Phoenix,20000,6/15/2011,2011,2011-Q2,/company/blogic,http://www.blogic.com
BuildingLayer,software,Crowdsourced indoor maps,"indoor, maps, api, navigation",1/1/2011,USA,KY,Lexington,20000,6/1/2011,2011,2011-Q2,/company/buildinglayer,http://buildinglayer.com
ZoopShop,software,Facebook Newsfeed Store,"ecommerce, social-commerce, commerce, social-media-marketing, facebook-commerce",2/15/2012,USA,OH,Columbus,20000,2/15/2012,2012,2012-Q1,/company/zoopshop,http://zoopshop.com
SocialSamba,software,Facebook for Fictional Characters,"social-networking, entertainment, tv",4/1/2010,USA,CA,SF Bay,20000,6/7/2012,2012,2012-Q2,/company/socialsamba,http://www.socialsamba.com
dreamsha.re,software,Business Web Applications,"start-up, web-app, web-tools, domains, domain-tools, small-businesses, b2b, b2c, internet, entrepreneurship",2/3/2013,USA,CA,Los Angeles,20000,3/1/2013,2013,2013-Q1,/company/dreamsha-re,http://dreamsha.re
Databraid,software,,,1/1/2010,USA,RI,Providence,20000,6/1/2010,2010,2010-Q2,/company/databraid,http://databraid.com
RegulatoryBinder,software,Electronic Clinical Trial Documentation,"healthcare-it, regulatory-documentation, binders, electronic-regulatory-binders, saas, regulatory-compliance",12/1/2012,USA,,United States - Other,20000,6/1/2013,2013,2013-Q2,/company/regulatorybinder,http://www.RegulatoryBinder.com
Ambassador,software,Referral Tracking & Management,"referral-marketing, referral-tracking, social-commerce, social-referral-software, social-media-marketing, affiliate-program, custom-incentives, customer-acquisition, customer-retention, ambassador-management, techstars, techstars-nyc-summer-2011",1/1/2010,USA,MI,Detroit,18000,1/1/2011,2011,2011-Q1,/company/ambassador,http://getambassador.com
SalesLoft,software,B2B Sales Intelligence Software,"b2b-sales, sales-intelligence, saas, b2b, prospect-generation, lead-generation, techstars, techstars-boulder-2012",9/12/2011,USA,GA,Atlanta,18000,5/17/2012,2012,2012-Q2,/company/salesloft,http://salesloft.com
Application Experts,software,Solutions for alternative asset managers,"alternative-asset-management, cloud-computing, salesforce, crm, private-equity-software, impact-investing, fundraising-software, fund-management-software, venture-capital-software, techstars, techstars-boulder-2008",6/29/2006,USA,CO,Denver,18000,5/1/2008,2008,2008-Q2,/company/application-experts,http://www.app-x.com
Bolt,software,,,,,,unknown,16000,2/1/2013,2013,2013-Q1,/company/bolt-3,http://joinbolt.com
LogicLoop,software,Produces IT Management Software,,8/1/2010,GBR,,London,15604,8/1/2010,2010,2010-Q3,/company/logicloop,httpo://www.logicloop.co.uk
A Smarter City,software,Municipal Sensor Networks,"wireless, networking, surveying, sensors, software, mesh-network",3/5/2011,,,unknown,15000,3/5/2011,2011,2011-Q1,/company/a-smarter-city,http://www.asmartercity.com
CloudAptitude,software,Applicant Pre-Screening for Job-Hiring,"applicant-screening, social-media, technology, hiring-process",1/28/2012,USA,TN,Memphis,15000,1/29/2012,2012,2012-Q1,/company/cloudaptitude,http://cloudaptitude.com
Safety Hound,software,Reducing Worker's Comp Insurance Rates,"workers-comp, insurance-rates",1/28/2012,USA,NJ,Sparta,15000,1/29/2012,2012,2012-Q1,/company/the-safety-hound,http://safetyhound.com
tu.nr,software,,,,,,unknown,14000,6/1/2010,2010,2010-Q2,/company/tu-nr,http://tu.nr
BOLD Guidance,software,College Application Management Platform,"education, college-applications, saas, college, admissions, college-admissions, bold-guidance",9/1/2012,USA,OH,Cleveland,14000,6/1/2013,2013,2013-Q2,/company/bold-guidance,http://boldguidance.com
FlashStarts,software,Startup Accelerator and Seed Fund,"accelerator, seed-fund, seed, tech-accelerator, entrepreneurship, software, healthcare-it, enterprise-it, incubator, y-combinator, techstars",1/1/2013,USA,OH,Cleveland,14000,6/1/2013,2013,2013-Q2,/company/flashstarts,http://www.flashstarts.com/accelerator
Map Decisions,software,,,5/15/2012,USA,PA,Bethlehem,13200,8/9/2013,2013,2013-Q3,/company/map-decisions,http://mapdecisions.com
Zet Universe,software,Integrated Information Experience for PM,context-aware-computing,10/1/2010,USA,MA,Boston,12000,8/14/2013,2013,2013-Q3,/company/zet-universe,http://www.zetuniverse.com
Mogotest,software,,"web-testing, web-design, cross-browser, rendering, cloud, verification, validation, techstars, techstars-boston-2010",12/1/2009,USA,MA,Boston,12000,3/1/2010,2010,2010-Q1,/company/mogotest,http://mogotest.com
SocialEngine,software,Social Network & Community Platform,"social-media-management, community-management, social-networking-script, social-network-php, community-software, online-community-builder, online-community, whitelabel, corporate, socialnetwork, consumerresearch, techstars, techstars-boulder-2011",6/1/2007,USA,CA,Los Angeles,12000,8/1/2011,2011,2011-Q3,/company/socialengine,http://www.socialengine.com
Avancert,software,High Stakes & Regulatory Assessment SaaS,"eassessment, online-testing, licensing, licencing, certification, saas, software-as-service",1/15/2010,NZL,,New Zealand - Other,10000,6/15/2010,2010,2010-Q2,/company/avancert,http://www.avancert.com
Auto Mute,software,Makes your computer silent by defult,"software, shareware, free, freeware, windows, mac-os-x, karpolan",10/31/2009,UKR,,Kiev,10000,10/15/2012,2012,2012-Q4,/company/auto-mute,http://auto-mute.com
Idealist,software,Business automation software,"lists, organization, collaboration, real-time",4/4/2012,USA,OK,Tulsa,10000,5/1/2012,2012,2012-Q2,/company/idealist,http://idealistsoftware.com
QRcao,software,Next generation of business cards,"business-card, cards, contacts, contact, details, nfc",8/1/2011,POL,,Warsaw,7208,8/1/2011,2011,2011-Q3,/company/qrcao,http://qrcao.com
Motivapps,software,Developer of motivational apps,app-iphone-ios-motivational-social,,POL,,Warsaw,6000,10/1/2010,2010,2010-Q4,/company/motivapps,http://motivapps.com
CorkCRM,software,Software for contractors,"software-for-contractors, contractor-software, software-for-painting-contractors, crm-for-contractors, contractor-crm",1/1/2013,,,unknown,5000,10/25/2013,2013,2013-Q4,/company/corkcrm,http://www.corkcrm.com
